search title,result title,mal_id,url,image,synopsis,6,7,8,9,10,11,12,13,14,15
20th Century Boys,20th Century Boys,3,https://myanimelist.net/manga/3/20th_Century_Boys,https://cdn.myanimelist.net/images/manga/1/54437.jpg?s=2dfac509e795f7cc672f1b4c4930bf92,"As the 20th century approaches its end, people all over the world are anxious that the world is changing. And probably not for the better. Kenji Endo is a normal convenience store manager who's just t...",,,,,,,,,,
Akumetsu,Akumetsu,1101,https://myanimelist.net/manga/1101/Akumetsu,https://cdn.myanimelist.net/images/manga/2/183734.jpg?s=910c302ebced39eff1fa67b18e61f11a,"Due to an economic downturn plaguing Japan, Shiina Nagasawa decides to take up prostitution as a means to support her family after her father goes bankrupt. To this end, she attends a party where the...",,,,,,,,,,
Ayashimon,Ayashimon,141583,https://myanimelist.net/manga/141583/Ayashimon,https://cdn.myanimelist.net/images/manga/1/256654.jpg?s=fe0adc91d9a7830fd781a9de4c0ae18d,"Years ago, the death of the infamous Enma Syndicate's chairman, who united all those below him, led to numerous individual yakuza groups being created. These groups are filled with ""ayashimon""—superna...",,,,,,,,,,
Dandadan,Dandadan,135496,https://myanimelist.net/manga/135496/Dandadan,https://cdn.myanimelist.net/images/manga/2/248746.jpg?s=a86007740a5ae53f941895995c3299e3,"After being aggressively rejected, Momo Ayase finds herself sulking when she stumbles across a boy being bullied. Saved by her rash kindness, the occult-obsessed boy attempts to speak to her about sup...",,,,,,,,,,
Jigokuraku,Jigokuraku,112318,https://myanimelist.net/manga/112318/Jigokuraku,https://cdn.myanimelist.net/images/manga/2/208522.jpg?s=d4c4baf56356696201a3ba8b8a67a35c,"Gabimaru the Hollow, a ninja of Iwagakure Village known for being cold and emotionless, was set up by his fellow ninja and is now on death row. Tired of killing and betrayal, he wants to die. However,...",,,,,,,,,,
Last Game,Last Game,30315,https://myanimelist.net/manga/30315/Last_Game,https://cdn.myanimelist.net/images/manga/5/65713.jpg?s=e69510ec79d3f4811c0c7dc3aebbc27b,"Nothing is beyond Naoto Yanagi, heir to the Yanagi business conglomerate. Idolized for his athletic and intellectual competence, looks and wealth, Naoto lived like a king during his elementary school...",,,,,,,,,,
Shuumatsu no Harem,Shuumatsu no Harem,98752,https://myanimelist.net/manga/98752/Shuumatsu_no_Harem,https://cdn.myanimelist.net/images/manga/3/183037.jpg?s=70aa35433da74500160dc3f3c0468733,"Diagnosed with multiple sclerosis, young researcher Reito Mizuhara is to be put into cryosleep until a cure can be found. Short on time, Reito decides to confess his pent-up feelings to his childhood...",,,,,,,,,,
Solo Leveling,Solo Leveling,121496,https://myanimelist.net/manga/121496/Solo_Leveling,https://cdn.myanimelist.net/images/manga/3/222295.jpg?s=b3abea95ceaccea8adf223bd0e4047b6,"Ten years ago, ""the Gate"" appeared and connected the real world with the realm of magic and monsters. To combat these vile beasts, ordinary people received superhuman powers and became known as ""Hunte...",,,,,,,,,,
Vagabond,Vagabond,656,https://myanimelist.net/manga/656/Vagabond,https://cdn.myanimelist.net/images/manga/2/181787.jpg?s=bbd3ff81b5d8e50781531c60cd68773f,"In 16th-century Japan, Shinmen Takezou is a wild, rough young man, in both his appearance and his actions. His aggressive nature has won him the collective reproach and fear of his village, leading hi...",,,,,,,,,,
Wind Breaker,Wind Breaker,133081,https://myanimelist.net/manga/133081/Wind_Breaker,https://cdn.myanimelist.net/images/manga/1/244074.jpg?s=db057fe8bd4c691541e457635ac37d8c,,,,,,,,,,,
Chainsaw Man,Chainsaw Man,116778,https://myanimelist.net/manga/116778/Chainsaw_Man,https://cdn.myanimelist.net/images/manga/3/216464.jpg?s=be8b827c88ca462abed2d034b1a98dae,"Denji has a simple dream—to live a happy and peaceful life, spending time with a girl he likes. This is a far cry from reality, however, as Denji is forced by the yakuza into killing devils in order t...",,,,,,,,,,
Sabishisugite Lesbian Fuuzoku ni Ikimashita Report,Sabishisugite Lesbian Fuuzoku ni Ikimashita Report,99969,https://myanimelist.net/manga/99969/Sabishisugite_Lesbian_Fuuzoku_ni_Ikimashita_Report,https://cdn.myanimelist.net/images/manga/2/180846.jpg?s=f350bd5d9b14982d093dac64fd80ec23,"After her life takes a turn for worse shortly after dropping out of college, Kabi Nagata becomes depressed and develops an eating disorder. She feels immense pressure from her family to be a ""normal""...",,,,,,,,,,
Uzumaki,Uzumaki,436,https://myanimelist.net/manga/436/Uzumaki,https://cdn.myanimelist.net/images/manga/3/185972.jpg?s=8d5359a5c3f7369167bdedb9653de9e8,"In the town of Kurouzu-cho, Kirie Goshima lives a fairly normal life with her family. As she walks to the train station one day to meet her boyfriend, Shuuichi Saito, she sees his father staring at a...",,,,,,,,,,
Uzumaki Tokubetsu-hen: Ginga,Uzumaki Tokubetsu-hen: Ginga,119534,https://myanimelist.net/manga/119534/Uzumaki_Tokubetsu-hen__Ginga,https://cdn.myanimelist.net/images/manga/3/234226.jpg?s=43e0178faa1774371f131dd818e192e5,"One night, Shuuichi Saitou reveals something incredible to his girlfriend, Kirie Goshima: he has recently discovered a new spiral-shaped galaxy. Filled with excitement, Kirie shares the news with her...",,,,,,,,,,
Kiseijuu,Kiseijuu,401,https://myanimelist.net/manga/401/Kiseijuu,https://cdn.myanimelist.net/images/manga/2/188928.jpg?s=05472082fd1016c1e57d3b52add1bfab,"""Parasites"" are tennis ball sized creatures, whose numbers and origins are unknown. They invade and take over the human mind in order to survive. Shinichi Izumi is a 16-year-old high school student wh...",,,,,,,,,,
Tokyo卍Revengers,Tokyo卍Revengers,104565,https://myanimelist.net/manga/104565/Tokyo卍Revengers,https://cdn.myanimelist.net/images/manga/3/196272.jpg?s=4706b089662c290a37dfa7da9d01f1ab,"Takemichi Hanagaki's life is at an all-time low. Just when he thought it couldn't get worse, he finds out that Hinata Tachibana, his ex-girlfriend, was murdered by the Tokyo Manji Gang: a group of vic...",,,,,,,,,,
Henshin,Henshin,65981,https://myanimelist.net/manga/65981/Henshin,https://cdn.myanimelist.net/images/manga/2/178602.jpg?s=1137974b9df42744baaa652637944a67,"In middle school, Saki Yoshida was an outcast. Out of fear of being ostracized due to her introverted personality, she isolated herself from her classmates. Growing to regret this lifestyle, Saki reso...",,,,,,,,,,
True Beauty,True Beauty,130538,https://myanimelist.net/manga/130538/True_Beauty,https://cdn.myanimelist.net/images/manga/3/246434.jpg?s=89fcdf30f698fc47f9116ffd7b74c759,"After binge-watching beauty videos online, a shy comic book fan masters the art of makeup and sees her social standing skyrocket as she becomes her school's prettiest pretty girl overnight. But will h...",,,,,,,,,,
Shingeki no Kyojin: Kuinaki Sentaku,Shingeki no Kyojin: Kuinaki Sentaku,58007,https://myanimelist.net/manga/58007/Shingeki_no_Kyojin__Kuinaki_Sentaku,https://cdn.myanimelist.net/images/manga/1/121101.jpg?s=9a8a24680996f81ee487534854aec711,"A spin-off shoujo manga that centers around Levi's and Erwin's past. The young Erwin Smith is a rising star in the Survey Corps, humanity's only hope of defeating the man-eating monsters known as Tita...",,,,,,,,,,
One Punch-Man,One Punch-Man,44347,https://myanimelist.net/manga/44347/One_Punch-Man,https://cdn.myanimelist.net/images/manga/3/80661.jpg?s=3eb9cd0c329dacd00f6c318ee0f5945f,"After rigorously training for three years, the ordinary Saitama has gained immense strength which allows him to take out anyone and anything with just one punch. He decides to put his new skill to goo...",,,,,,,,,,
Shingeki no Kyojin,Shingeki no Kyojin,23390,https://myanimelist.net/manga/23390/Shingeki_no_Kyojin,https://cdn.myanimelist.net/images/manga/2/37846.jpg?s=bdda4d1c1d85237aead7d545f876c077,"Hundreds of years ago, horrifying creatures which resembled humans appeared. These mindless, towering giants, called ""Titans,"" proved to be an existential threat, as they preyed on whatever humans the...",,,,,,,,,,
Spy x Family,Spy x Family,119161,https://myanimelist.net/manga/119161/Spy_x_Family,https://cdn.myanimelist.net/images/manga/3/219741.jpg?s=d37eca4927a94e9d6cdb67d1013cb220,"For the agent known as ""Twilight,"" no order is too tall if it is for the sake of peace. Operating as Westalis' master spy, Twilight works tirelessly to prevent extremists from sparking a war with neig...",,,,,,,,,,
Yakusoku no Neverland,Yakusoku no Neverland,100128,https://myanimelist.net/manga/100128/Yakusoku_no_Neverland,https://cdn.myanimelist.net/images/manga/3/186922.jpg?s=fdb8d7cec23c00593d8ae08ad14dd89d,"At Grace Field House, life couldn't be better for the orphans! Though they have no parents, together with the other kids and a kind ""Mama"" who cares for them, they form one big, happy family. No child...",,,,,,,,,,
1-nen A-gumi no Monster,1-nen A-gumi no Monster,112398,https://myanimelist.net/manga/112398/1-nen_A-gumi_no_Monster,https://cdn.myanimelist.net/images/manga/3/210493.jpg?s=54eebbb92d6795cb458258c56f3f58a4,"When Tarou Jimi is assigned as the homeroom teacher of class 1-A at an all girls' high school, the rest of the staff feel sorry for him. On the surface, class 1-A is full of pretty and talented girls...",,,,,,,,,,
Ane Naru Mono,Ane Naru Mono,96704,https://myanimelist.net/manga/96704/Ane_Naru_Mono,https://cdn.myanimelist.net/images/manga/2/177909.jpg?s=a76ea63fcca98d52ff3649072fccb156,"Since the death of his parents, young Yuu has suffered considerably from neglect and abuse at the hands of his adoptive relatives, who leave him to his own resources to survive. Fortunately, a girl na...",,,,,,,,,,
Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,115067,https://myanimelist.net/manga/115067/Ansatsusha_de_Aru_Ore_no_Status_ga_Yuusha_yori_mo_Akiraka_ni_Tsuyoi_no_da_ga,https://cdn.myanimelist.net/images/manga/2/215176.jpg?s=c53ebea0137e5000d976d79b8b247f47,"When Akira's class is magically summoned to another world, he and his classmates are awarded fantastical powers–but while one of them is lucky enough to become a true Hero, Akira becomes a mere Assass...",,,,,,,,,,
Arifureta Shokugyou de Sekai Saikyou,Arifureta Shokugyou de Sekai Saikyou,96528,https://myanimelist.net/manga/96528/Arifureta_Shokugyou_de_Sekai_Saikyou,https://cdn.myanimelist.net/images/manga/3/186402.jpg?s=2d13ea51e8e7b9a74886f19b9313620c,"After a magical circle suddenly appears at school, Hajime Nagumo and his classmates find themselves transported inside a church where they are welcomed as honored guests. Thrust into the RPG-like worl...",,,,,,,,,,
Assassins Pride,Assassins Pride,105405,https://myanimelist.net/manga/105405/Assassins_Pride,https://cdn.myanimelist.net/images/manga/1/203025.jpg?s=ef0b29e9d6dde6644b593cc992a6571b,"In the world where only the aristocrats have the power to fight the monster—mana. A youth named Kufa is dispatched as a tutor to find Mareida's talent, a nuisance girl born in a duke's family. If she...",,,,,,,,,,
Bokutachi wa Benkyou ga Dekinai,Bokutachi wa Benkyou ga Dekinai,103890,https://myanimelist.net/manga/103890/Bokutachi_wa_Benkyou_ga_Dekinai,https://cdn.myanimelist.net/images/manga/3/197080.jpg?s=fa19f7b5c98ac233c01dce8ed78e5a36,"His late father always said that a useless man should strive to be useful, so to that end, third-year high school student Nariyuki Yuiga dedicated himself to becoming a high-achieving student in his s...",,,,,,,,,,
Boushoku no Berserk: Ore dake Level to Iu Gainen wo Toppa suru the Comic,Boushoku no Berserk: Ore dake Level to Iu Gainen wo Toppa suru the Comic,113958,https://myanimelist.net/manga/113958/Boushoku_no_Berserk__Ore_dake_Level_to_Iu_Gainen_wo_Toppa_suru_the_Comic,https://cdn.myanimelist.net/images/manga/3/212091.jpg?s=d42c012a2921c200fb94e9c33ba55c0e,"Fate, a gatekeeper who had been working for the castle, is beset by a few burdens. It is the constant hunger attacks triggered by a skill he had obtained upon birth. A useless skill, it only serves to...",,,,,,,,,,
