title,mal_id,url,image,synopsis,title_english,title_japanese,title_synonyms,genres_1,genres_2,genres_3,genres_4,genres_5,explicit_genres_1,explicit_genres_2,explicit_genres_3,explicit_genres_4,explicit_genres_5,demographics_1,demographics_2,demographics_3,themes_1,themes_2,themes_3,genres_6,genres_7,genres_8,themes_4,combined_title
20th Century Boys,3,https://myanimelist.net/manga/3/20th_Century_Boys,https://cdn.myanimelist.net/images/manga/1/54437.jpg?s=2dfac509e795f7cc672f1b4c4930bf92,"As the 20th century approaches its end, people all over the world are anxious that the world is changing. And probably not for the better. Kenji Endo is a normal convenience store manager who's just t...",20th Century Boys,20世紀少年,/20 Seiki Shounen/Nijuu Seiki Shounen/Nijuusseiki Shounen/20thCB,Drama,Mystery,Sci-Fi,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Historical,Psychological,nil,,,,,20th Century Boys/20世紀少年/20 Seiki Shounen/Nijuu Seiki Shounen/Nijuusseiki Shounen/20thCB
Akumetsu,1101,https://myanimelist.net/manga/1101/Akumetsu,https://cdn.myanimelist.net/images/manga/2/183734.jpg?s=910c302ebced39eff1fa67b18e61f11a,"Due to an economic downturn plaguing Japan, Shiina Nagasawa decides to take up prostitution as a means to support her family after her father goes bankrupt. To this end, she attends a party where the...",nil,アクメツ,nil,Action,Drama,Suspense,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Police,Psychological,nil,,,,,Akumetsu/アクメツ
Ayashimon,141583,https://myanimelist.net/manga/141583/Ayashimon,https://cdn.myanimelist.net/images/manga/1/256654.jpg?s=fe0adc91d9a7830fd781a9de4c0ae18d,"Years ago, the death of the infamous Enma Syndicate's chairman, who united all those below him, led to numerous individual yakuza groups being created. These groups are filled with ""ayashimon""—superna...",nil,アヤシモン,nil,Action,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,,Ayashimon/アヤシモン
Dandadan,135496,https://myanimelist.net/manga/135496/Dandadan,https://cdn.myanimelist.net/images/manga/2/248746.jpg?s=a86007740a5ae53f941895995c3299e3,"After being aggressively rejected, Momo Ayase finds herself sulking when she stumbles across a boy being bullied. Saved by her rash kindness, the occult-obsessed boy attempts to speak to her about sup...",Dandadan,ダンダダン,nil,Action,Comedy,Sci-Fi,Supernatural,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,,Dandadan/ダンダダン
Jigokuraku,112318,https://myanimelist.net/manga/112318/Jigokuraku,https://cdn.myanimelist.net/images/manga/2/208522.jpg?s=d4c4baf56356696201a3ba8b8a67a35c,"Gabimaru the Hollow, a ninja of Iwagakure Village known for being cold and emotionless, was set up by his fellow ninja and is now on death row. Tired of killing and betrayal, he wants to die. However,...",Hell's Paradise: Jigokuraku,地獄楽,/Paradition/Heavenhell,Action,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Historical,nil,nil,,,,,Jigokuraku/Hell's Paradise: Jigokuraku/地獄楽/Paradition/Heavenhell
Last Game,30315,https://myanimelist.net/manga/30315/Last_Game,https://cdn.myanimelist.net/images/manga/5/65713.jpg?s=e69510ec79d3f4811c0c7dc3aebbc27b,"Nothing is beyond Naoto Yanagi, heir to the Yanagi business conglomerate. Idolized for his athletic and intellectual competence, looks and wealth, Naoto lived like a king during his elementary school...",nil,ラストゲーム,/Kimi to/Shiawase./Hidamari no Niwa/Wasureyuki/Ninkoi,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,nil,nil,nil,,,,,Last Game/ラストゲーム/Kimi to/Shiawase./Hidamari no Niwa/Wasureyuki/Ninkoi
Shuumatsu no Harem,98752,https://myanimelist.net/manga/98752/Shuumatsu_no_Harem,https://cdn.myanimelist.net/images/manga/3/183037.jpg?s=70aa35433da74500160dc3f3c0468733,"Diagnosed with multiple sclerosis, young researcher Reito Mizuhara is to be put into cryosleep until a cure can be found. Short on time, Reito decides to confess his pent-up feelings to his childhood...",World's End Harem,終末のハーレム,/Shuumatsu no Harem: After World/World's End Harem: After World,Sci-Fi,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,nil,nil,,,,,Shuumatsu no Harem/World's End Harem/終末のハーレム/Shuumatsu no Harem: After World/World's End Harem: After World
Solo Leveling,121496,https://myanimelist.net/manga/121496/Solo_Leveling,https://cdn.myanimelist.net/images/manga/3/222295.jpg?s=b3abea95ceaccea8adf223bd0e4047b6,"Ten years ago, ""the Gate"" appeared and connected the real world with the realm of magic and monsters. To combat these vile beasts, ordinary people received superhuman powers and became known as ""Hunte...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Solo Leveling
Vagabond,656,https://myanimelist.net/manga/656/Vagabond,https://cdn.myanimelist.net/images/manga/2/181787.jpg?s=bbd3ff81b5d8e50781531c60cd68773f,"In 16th-century Japan, Shinmen Takezou is a wild, rough young man, in both his appearance and his actions. His aggressive nature has won him the collective reproach and fear of his village, leading hi...",Vagabond,バガボンド,nil,Action,Adventure,Drama,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Historical,Samurai,nil,,,,,Vagabond/バガボンド
Wind Breaker,133081,https://myanimelist.net/manga/133081/Wind_Breaker,https://cdn.myanimelist.net/images/manga/1/244074.jpg?s=db057fe8bd4c691541e457635ac37d8c,,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Wind Breaker
Chainsaw Man,116778,https://myanimelist.net/manga/116778/Chainsaw_Man,https://cdn.myanimelist.net/images/manga/3/216464.jpg?s=be8b827c88ca462abed2d034b1a98dae,"Denji has a simple dream—to live a happy and peaceful life, spending time with a girl he likes. This is a far cry from reality, however, as Denji is forced by the yakuza into killing devils in order t...",Chainsaw Man,チェンソーマン,nil,Action,Adventure,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Demons,nil,nil,,,,,Chainsaw Man/チェンソーマン
Sabishisugite Lesbian Fuuzoku ni Ikimashita Report,99969,https://myanimelist.net/manga/99969/Sabishisugite_Lesbian_Fuuzoku_ni_Ikimashita_Report,https://cdn.myanimelist.net/images/manga/2/180846.jpg?s=f350bd5d9b14982d093dac64fd80ec23,"After her life takes a turn for worse shortly after dropping out of college, Kabi Nagata becomes depressed and develops an eating disorder. She feels immense pressure from her family to be a ""normal""...",My Lesbian Experience With Loneliness,さびしすぎてレズ風俗に行きましたレポ,/The Private Report on My Lesbian Experience with Loneliness,Girls Love,Slice of Life,Erotica,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Sabishisugite Lesbian Fuuzoku ni Ikimashita Report/My Lesbian Experience With Loneliness/さびしすぎてレズ風俗に行きましたレポ/The Private Report on My Lesbian Experience with Loneliness
Uzumaki,436,https://myanimelist.net/manga/436/Uzumaki,https://cdn.myanimelist.net/images/manga/3/185972.jpg?s=8d5359a5c3f7369167bdedb9653de9e8,"In the town of Kurouzu-cho, Kirie Goshima lives a fairly normal life with her family. As she walks to the train station one day to meet her boyfriend, Shuuichi Saito, she sees his father staring at a...",Uzumaki: Spiral into Horror,うずまき,/The Spiral,Avant Garde,Drama,Horror,Supernatural,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,,Uzumaki/Uzumaki: Spiral into Horror/うずまき/The Spiral
Uzumaki Tokubetsu-hen: Ginga,119534,https://myanimelist.net/manga/119534/Uzumaki_Tokubetsu-hen__Ginga,https://cdn.myanimelist.net/images/manga/3/234226.jpg?s=43e0178faa1774371f131dd818e192e5,"One night, Shuuichi Saitou reveals something incredible to his girlfriend, Kirie Goshima: he has recently discovered a new spiral-shaped galaxy. Filled with excitement, Kirie shares the news with her...",nil,うずまき特別編 銀河,/Uzumaki Lost Chapter: Galaxies,Horror,nil,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,,Uzumaki Tokubetsu-hen: Ginga/うずまき特別編 銀河/Uzumaki Lost Chapter: Galaxies
Kiseijuu,401,https://myanimelist.net/manga/401/Kiseijuu,https://cdn.myanimelist.net/images/manga/2/188928.jpg?s=05472082fd1016c1e57d3b52add1bfab,"""Parasites"" are tennis ball sized creatures, whose numbers and origins are unknown. They invade and take over the human mind in order to survive. Shinichi Izumi is a 16-year-old high school student wh...",Parasyte,寄生獣,/Parasite/Parasitic Beasts,Action,Drama,Horror,Sci-Fi,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Psychological,nil,nil,,,,,Kiseijuu/Parasyte/寄生獣/Parasite/Parasitic Beasts
Tokyo卍Revengers,104565,https://myanimelist.net/manga/104565/Tokyo卍Revengers,https://cdn.myanimelist.net/images/manga/3/196272.jpg?s=4706b089662c290a37dfa7da9d01f1ab,"Takemichi Hanagaki's life is at an all-time low. Just when he thought it couldn't get worse, he finds out that Hinata Tachibana, his ex-girlfriend, was murdered by the Tokyo Manji Gang: a group of vic...",Tokyo Revengers,東京卍リベンジャーズ,/Tokyo Manji Revengers,Action,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,,Tokyo卍Revengers/Tokyo Revengers/東京卍リベンジャーズ/Tokyo Manji Revengers
Henshin,65981,https://myanimelist.net/manga/65981/Henshin,https://cdn.myanimelist.net/images/manga/2/178602.jpg?s=1137974b9df42744baaa652637944a67,"In middle school, Saki Yoshida was an outcast. Out of fear of being ostracized due to her introverted personality, she isolated herself from her classmates. Growing to regret this lifestyle, Saki reso...",Metamorphosis,変身,/Emergence.,Drama,Hentai,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,School,nil,nil,,,,,Henshin/Metamorphosis/変身/Emergence.
True Beauty,130538,https://myanimelist.net/manga/130538/True_Beauty,https://cdn.myanimelist.net/images/manga/3/246434.jpg?s=89fcdf30f698fc47f9116ffd7b74c759,"After binge-watching beauty videos online, a shy comic book fan masters the art of makeup and sees her social standing skyrocket as she becomes her school's prettiest pretty girl overnight. But will h...",True Beauty,여신 강림,/Descent of a Goddess/Yeosin Gangnim,Comedy,Drama,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,True Beauty/여신 강림/Descent of a Goddess/Yeosin Gangnim
Shingeki no Kyojin: Kuinaki Sentaku,58007,https://myanimelist.net/manga/58007/Shingeki_no_Kyojin__Kuinaki_Sentaku,https://cdn.myanimelist.net/images/manga/1/121101.jpg?s=9a8a24680996f81ee487534854aec711,"A spin-off shoujo manga that centers around Levi's and Erwin's past. The young Erwin Smith is a rising star in the Survey Corps, humanity's only hope of defeating the man-eating monsters known as Tita...",Attack on Titan: No Regrets,進撃の巨人 悔いなき選択,/Attack on Titan Side Story: A Choice with No Regrets/Shingeki no Kyojin: Birth of Levi/Shingeki no Kyojin Gaiden/The Birth of Rivaille,Action,Fantasy,Supernatural,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,nil,nil,nil,,,,,Shingeki no Kyojin: Kuinaki Sentaku/Attack on Titan: No Regrets/進撃の巨人 悔いなき選択/Attack on Titan Side Story: A Choice with No Regrets/Shingeki no Kyojin: Birth of Levi/Shingeki no Kyojin Gaiden/The Birth of Rivaille
One Punch-Man,44347,https://myanimelist.net/manga/44347/One_Punch-Man,https://cdn.myanimelist.net/images/manga/3/80661.jpg?s=3eb9cd0c329dacd00f6c318ee0f5945f,"After rigorously training for three years, the ordinary Saitama has gained immense strength which allows him to take out anyone and anything with just one punch. He decides to put his new skill to goo...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,One Punch-Man
Shingeki no Kyojin,23390,https://myanimelist.net/manga/23390/Shingeki_no_Kyojin,https://cdn.myanimelist.net/images/manga/2/37846.jpg?s=bdda4d1c1d85237aead7d545f876c077,"Hundreds of years ago, horrifying creatures which resembled humans appeared. These mindless, towering giants, called ""Titans,"" proved to be an existential threat, as they preyed on whatever humans the...",Attack on Titan,進撃の巨人,nil,Action,Drama,Fantasy,Mystery,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Military,Super Power,nil,,,,,Shingeki no Kyojin/Attack on Titan/進撃の巨人
Spy x Family,119161,https://myanimelist.net/manga/119161/Spy_x_Family,https://cdn.myanimelist.net/images/manga/3/219741.jpg?s=d37eca4927a94e9d6cdb67d1013cb220,"For the agent known as ""Twilight,"" no order is too tall if it is for the sake of peace. Operating as Westalis' master spy, Twilight works tirelessly to prevent extremists from sparking a war with neig...",Spy x Family,SPY×FAMILY,nil,Action,Comedy,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,,Spy x Family/SPY×FAMILY
Yakusoku no Neverland,100128,https://myanimelist.net/manga/100128/Yakusoku_no_Neverland,https://cdn.myanimelist.net/images/manga/3/186922.jpg?s=fdb8d7cec23c00593d8ae08ad14dd89d,"At Grace Field House, life couldn't be better for the orphans! Though they have no parents, together with the other kids and a kind ""Mama"" who cares for them, they form one big, happy family. No child...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Yakusoku no Neverland
1-nen A-gumi no Monster,112398,https://myanimelist.net/manga/112398/1-nen_A-gumi_no_Monster,https://cdn.myanimelist.net/images/manga/3/210493.jpg?s=54eebbb92d6795cb458258c56f3f58a4,"When Tarou Jimi is assigned as the homeroom teacher of class 1-A at an all girls' high school, the rest of the staff feel sorry for him. On the surface, class 1-A is full of pretty and talented girls...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,1-nen A-gumi no Monster
Ane Naru Mono,96704,https://myanimelist.net/manga/96704/Ane_Naru_Mono,https://cdn.myanimelist.net/images/manga/2/177909.jpg?s=a76ea63fcca98d52ff3649072fccb156,"Since the death of his parents, young Yuu has suffered considerably from neglect and abuse at the hands of his adoptive relatives, who leave him to his own resources to survive. Fortunately, a girl na...",nil,姉なるもの,/The sister of the Woods with a Thousand Young/An Elder Sister,Supernatural,Hentai,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,Doujinshi,nil,nil,,,,,Ane Naru Mono/姉なるもの/The sister of the Woods with a Thousand Young/An Elder Sister
Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,115067,https://myanimelist.net/manga/115067/Ansatsusha_de_Aru_Ore_no_Status_ga_Yuusha_yori_mo_Akiraka_ni_Tsuyoi_no_da_ga,https://cdn.myanimelist.net/images/manga/2/215176.jpg?s=c53ebea0137e5000d976d79b8b247f47,"When Akira's class is magically summoned to another world, he and his classmates are awarded fantastical powers–but while one of them is lucky enough to become a true Hero, Akira becomes a mere Assass...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga
Arifureta Shokugyou de Sekai Saikyou,96528,https://myanimelist.net/manga/96528/Arifureta_Shokugyou_de_Sekai_Saikyou,https://cdn.myanimelist.net/images/manga/3/186402.jpg?s=2d13ea51e8e7b9a74886f19b9313620c,"After a magical circle suddenly appears at school, Hajime Nagumo and his classmates find themselves transported inside a church where they are welcomed as honored guests. Thrust into the RPG-like worl...",Arifureta: From Commonplace to World's Strongest,ありふれた職業で世界最強,/From Common Job Class to the Strongest in the World,Action,Adventure,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Arifureta Shokugyou de Sekai Saikyou/Arifureta: From Commonplace to World's Strongest/ありふれた職業で世界最強/From Common Job Class to the Strongest in the World
Assassins Pride,105405,https://myanimelist.net/manga/105405/Assassins_Pride,https://cdn.myanimelist.net/images/manga/1/203025.jpg?s=ef0b29e9d6dde6644b593cc992a6571b,"In the world where only the aristocrats have the power to fight the monster—mana. A youth named Kufa is dispatched as a tutor to find Mareida's talent, a nuisance girl born in a duke's family. If she...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Assassins Pride
Bokutachi wa Benkyou ga Dekinai,103890,https://myanimelist.net/manga/103890/Bokutachi_wa_Benkyou_ga_Dekinai,https://cdn.myanimelist.net/images/manga/3/197080.jpg?s=fa19f7b5c98ac233c01dce8ed78e5a36,"His late father always said that a useless man should strive to be useful, so to that end, third-year high school student Nariyuki Yuiga dedicated himself to becoming a high-achieving student in his s...",We Never Learn,ぼくたちは勉強ができない,/BokuBen/We Can't Study,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,Harem,School,nil,,,,,Bokutachi wa Benkyou ga Dekinai/We Never Learn/ぼくたちは勉強ができない/BokuBen/We Can't Study
Boushoku no Berserk: Ore dake Level to Iu Gainen wo Toppa suru the Comic,113958,https://myanimelist.net/manga/113958/Boushoku_no_Berserk__Ore_dake_Level_to_Iu_Gainen_wo_Toppa_suru_the_Comic,https://cdn.myanimelist.net/images/manga/3/212091.jpg?s=d42c012a2921c200fb94e9c33ba55c0e,"Fate, a gatekeeper who had been working for the castle, is beset by a few burdens. It is the constant hunger attacks triggered by a skill he had obtained upon birth. A useless skill, it only serves to...",Berserk of Gluttony,暴食のベルセルク～俺だけレベルという概念を突破する～ THE COMIC,/Berserk of Gluttony: The One That Exceeds the Concept of Levels,Action,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Boushoku no Berserk: Ore dake Level to Iu Gainen wo Toppa suru the Comic/Berserk of Gluttony/暴食のベルセルク～俺だけレベルという概念を突破する～ THE COMIC/Berserk of Gluttony: The One That Exceeds the Concept of Levels
D-Frag!,14721,https://myanimelist.net/manga/14721/D-Frag,https://cdn.myanimelist.net/images/manga/1/188780.jpg?s=a507196244ca4e0a886b2f63f581abde,"Kenji Kazama—the leader of an eponymous three-man gang—plans to take over Fujou High and make his legend known to all. However, when his first act of delinquency misfires, he finds himself coerced int...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,D-Frag!
Dumbbell Nan Kilo Moteru?,100539,https://myanimelist.net/manga/100539/Dumbbell_Nan_Kilo_Moteru,https://cdn.myanimelist.net/images/manga/1/187774.jpg?s=050645e226e5fc63e5c0168232d24805,"Sakura Hibiki is your average high school girl, with a voracious appetite. Noticing her clothes tightening in lieu of her slowly expanding waistline she decides to look into enrolling in the nearby gy...",How Heavy Are the Dumbbells You Lift?,ダンベル何キロ持てる？,/How Many Kilograms are the Dumbbells You Lift?,Comedy,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Dumbbell Nan Kilo Moteru?/How Heavy Are the Dumbbells You Lift?/ダンベル何キロ持てる？/How Many Kilograms are the Dumbbells You Lift?
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",105328,https://myanimelist.net/manga/105328/Gaikotsu_Kishi-sama_Tadaima_Isekai_e_Odekakechuu,https://cdn.myanimelist.net/images/manga/3/199736.jpg?s=ba6830c5fe02bbb3e124702e1edb505c,"One day, a gamer played video games until he fell asleep...and when he woke up, he found himself in the game world—as a skeleton! Equipped with the powerful weapons and armor of his avatar but stuck w...",Skeleton Knight in Another World,骸骨騎士様、只今異世界へお出掛け中,/Skeleton Knight/going out to the parallel universe,Action,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu/Skeleton Knight in Another World/骸骨騎士様、只今異世界へお出掛け中/Skeleton Knight/going out to the parallel universe"
Gal Gohan,103694,https://myanimelist.net/manga/103694/Gal_Gohan,https://cdn.myanimelist.net/images/manga/1/197704.jpg?s=3c998dafbc1e871f9d32135268e2d473,"Home Economics Teacher, Shinji Yabe, is asked by the biggest gal in school, Miku Okazaki, to help her ""bake cookies to give to the teachers."" The principal told her to do this, after she flunked every...",Gal Gohan,ギャルごはん,/Gyaru Cooking/Gyaru Gohan,Comedy,Gourmet,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,School,nil,nil,,,,,Gal Gohan/ギャルごはん/Gyaru Cooking/Gyaru Gohan
Genjitsu Shugi Yuusha no Oukoku Saikenki,107795,https://myanimelist.net/manga/107795/Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki,https://cdn.myanimelist.net/images/manga/1/207420.jpg?s=5f028b42ecf173634d67a99eda7d1a4a,"""O, Hero!"" With that cliched line, Kazuya Souma found himself summoned to another world and his adventure—did not begin. After he presents his plan to strengthen the country economically and militaril...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Genjitsu Shugi Yuusha no Oukoku Saikenki
Gleipnir,93519,https://myanimelist.net/manga/93519/Gleipnir,https://cdn.myanimelist.net/images/manga/3/174385.jpg?s=cdf64f56ed3ba98bbdb309a3ac9257b3,"What does one consider to be a monster? A horrible bloodsucking vampire? Frankenstein's creation? Shuichi Kagaya has a secret. Other than having great grades and being skilled at sports, he isn’t what...",Gleipnir,グレイプニル,nil,Action,Mystery,Supernatural,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,,Gleipnir/グレイプニル
Goblin Slayer,98720,https://myanimelist.net/manga/98720/Goblin_Slayer,https://cdn.myanimelist.net/images/manga/1/183163.jpg?s=ae8d342fae078babd93b95f8e6c3ca37,"In a world stalked by great beasts and frightening monsters, a more common creature is often overlooked: the goblin. While not as outright threatening as some of the larger nightmares out there, gobli...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Goblin Slayer
Goblin Slayer Gaiden: Year One,109608,https://myanimelist.net/manga/109608/Goblin_Slayer_Gaiden__Year_One,https://cdn.myanimelist.net/images/manga/1/207520.jpg?s=203750dbbf5c6724120f4874b1d909d4,Prequel series revealing Goblin Slayer's past and the events which led him to become an adventurer with the one and only purpose of annihilating all goblins from the world.,Goblin Slayer Side Story: Year One,ゴブリンスレイヤー外伝：イヤーワン,nil,Action,Drama,Fantasy,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,,Goblin Slayer Gaiden: Year One/Goblin Slayer Side Story: Year One/ゴブリンスレイヤー外伝：イヤーワン
Grand Blue,70345,https://myanimelist.net/manga/70345/Grand_Blue,https://cdn.myanimelist.net/images/manga/2/166124.jpg?s=3a3e1279dd192ea90a32ff6bdfdbe4dc,"Among the seaside town of Izu's ocean waves and rays of shining sun, Iori Kitahara is just beginning his freshman year at Izu University. As he moves into his uncle's scuba diving shop, Grand Blue, he...",Grand Blue Dreaming,ぐらんぶる,nil,Comedy,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,nil,nil,nil,,,,,Grand Blue/Grand Blue Dreaming/ぐらんぶる
Hajimete no Gal,98938,https://myanimelist.net/manga/98938/Hajimete_no_Gal,https://cdn.myanimelist.net/images/manga/2/178631.jpg?s=af273a0abe058072d626c01e0854567f,"Spring. The ""season of love"" has arrived and it seems that finding himself a girlfriend was harder than Junichi believed. To break the status quo, Junichi's friends have forced him into confessing to...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Hajimete no Gal
Hiraheishi wa Kako wo Yumemiru,98712,https://myanimelist.net/manga/98712/Hiraheishi_wa_Kako_wo_Yumemiru,https://cdn.myanimelist.net/images/manga/1/191228.jpg?s=5565db7f97ab3cdd9575ea873484f739,"It details the life of a mid-rank soldier who died at the very end of the war against the Demon Race. Fortunately for him, he wakes up to find that he's a baby again, in the embrace of his real mother...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Hiraheishi wa Kako wo Yumemiru
"Ijiranaide, Nagatoro-san",110737,https://myanimelist.net/manga/110737/Ijiranaide_Nagatoro-san,https://cdn.myanimelist.net/images/manga/3/207460.jpg?s=8f4be89c9b9c650537336335b9438af3,"High schooler Hayase Nagatoro loves to spend her free time doing one thing, and that is to bully her Senpai! After Nagatoro and her friends stumble upon the aspiring artist's drawings, they find enjoy...","Don't Toy With Me, Miss Nagatoro",イジらないで、長瀞さん,/Please don't bully me/Nagatoro,Comedy,Romance,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,School,nil,nil,,,,,"Ijiranaide, Nagatoro-san/Don't Toy With Me, Miss Nagatoro/イジらないで、長瀞さん/Please don't bully me/Nagatoro"
Imamade Ichido mo Onnaatsukai sareta Koto ga Nai Onna Kishi wo Onnaatsukai suru Manga,113626,https://myanimelist.net/manga/113626/Imamade_Ichido_mo_Onnaatsukai_sareta_Koto_ga_Nai_Onna_Kishi_wo_Onnaatsukai_suru_Manga,https://cdn.myanimelist.net/images/manga/1/215499.jpg?s=1ab3cfb1700415123fa4d912dcc3e081,"Leo Cornelia, also known as the Undefeatable Holy Blade, is hailed as the strongest knight in all the land. It's precisely this strength that has barred anyone from treating her like a proper woman be...",How to Treat a Lady Knight Right,今まで一度も女扱いされたことがない女騎士を女扱いする漫画,/A story about treating a female knight who has never been treated as a woman as a woman,Comedy,Fantasy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Imamade Ichido mo Onnaatsukai sareta Koto ga Nai Onna Kishi wo Onnaatsukai suru Manga/How to Treat a Lady Knight Right/今まで一度も女扱いされたことがない女騎士を女扱いする漫画/A story about treating a female knight who has never been treated as a woman as a woman
Isekai Cheat Magician,104284,https://myanimelist.net/manga/104284/Isekai_Cheat_Magician,https://cdn.myanimelist.net/images/manga/2/197686.jpg?s=ef047375cfe725f8187b0b4cafb7b2be,"As regular high school students Taichi and Rin disappeared in a beam of light. When they came to, the two of them were already in a world of swords and magic. Finally getting away after experiencing a...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Isekai Cheat Magician
Isekai Mahou wa Okureteru!,103364,https://myanimelist.net/manga/103364/Isekai_Mahou_wa_Okureteru,https://cdn.myanimelist.net/images/manga/1/198482.jpg?s=6e67e2425d16ffc92d0f41913a790a8e,"Felmenia Stingray was a genius magician. She quickly became the most distinguished magician of the Astel Kingdom after her discovery of white fire magic, which had the power to burn anything. However,...",The Magic in this Other World is Too Far Behind!,異世界魔法は遅れてる!,/The Different World Magic is too Behind!,Action,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Isekai Mahou wa Okureteru!/The Magic in this Other World is Too Far Behind!/異世界魔法は遅れてる!/The Different World Magic is too Behind!
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,91714,https://myanimelist.net/manga/91714/Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu,https://cdn.myanimelist.net/images/manga/3/200741.jpg?s=97fda2ead3ac5c3c2bbb3edd7aaca4f0,"An elite but socially-stunted gamer finds himself in another world, inhabiting the body of his character Diablo. Despite his powers, his awkwardness keeps getting in the way, so he decides to pretend...",How NOT to Summon a Demon Lord,異世界魔王と召喚少女の奴隷魔術,/The King of Darkness Another World Story: Slave Magic,Action,Comedy,Fantasy,Romance,Ecchi,nil,nil,nil,nil,nil,nil,nil,nil,Harem,nil,nil,,,,,Isekai Maou to Shoukan Shoujo no Dorei Majutsu/How NOT to Summon a Demon Lord/異世界魔王と召喚少女の奴隷魔術/The King of Darkness Another World Story: Slave Magic
