title,mal_id,url,image,synopsis,title_english,title_japanese,title_synonyms,genres_1,genres_2,genres_3,genres_4,genres_5,explicit_genres_1,explicit_genres_2,explicit_genres_3,explicit_genres_4,explicit_genres_5,demographics_1,demographics_2,demographics_3,themes_1,themes_2,themes_3,genres_6,genres_7,genres_8,themes_4,combined_title
ES: Eternal Sabbath,344,https://myanimelist.net/manga/344/ES__Eternal_Sabbath,https://cdn.myanimelist.net/images/manga/2/174740.jpg?s=d454a4738c58d5ff97db347a23881618,"Ryousuke Akiba calls himself ES, a code name taken from a mysterious scientific experiment. Ryousuke will live to be at least two centuries old and possesses strange mental powers: He can enter people...",ES: Eternal Sabbath,エス -Eternal Sabbath-,nil,Drama,Sci-Fi,Supernatural,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Psychological,nil,nil,,,,,ES: Eternal Sabbath/エス -Eternal Sabbath-
Fate/kaleid liner Prisma☆Illya 3rei!!,36131,https://myanimelist.net/manga/36131/Fate_kaleid_liner_Prisma☆Illya_3rei,https://cdn.myanimelist.net/images/manga/4/80841.jpg?s=df2242f37721f0cf14983858d0ed3265,"Awakening in a parallel world, Illyasviel von Einzbern is distressed and in trouble, unable to transform and without Miyu Edelfelt or Rin Toosaka for support. The once lively Fuyuki City is in snowy r...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Fate/kaleid liner Prisma☆Illya 3rei!!
Fate/strange Fake,83923,https://myanimelist.net/manga/83923/Fate_strange_Fake,https://cdn.myanimelist.net/images/manga/2/145617.jpg?s=f64cef78720bd2a17c5d5b5912ca10c6,"The plot centers around a Grail War faultily copied from the Third Holy Grail War in Fuyuki. After the end of the third Grail War, an organization from the United States that has magi separate from th...",nil,Fate/strange Fake,nil,Action,Fantasy,Supernatural,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Fate/strange Fake/Fate/strange Fake
Fruits Basket: Another,91484,https://myanimelist.net/manga/91484/Fruits_Basket__Another,https://cdn.myanimelist.net/images/manga/1/181877.jpg?s=80ca999e6895775610b1372c519f08fb,"Being reprimanded by everyone she encounters, Sawa Mitoma has fallen under the impression that she is nothing but a burden. On her first day of high school, Sawa causes even more trouble when her teac...",Fruits Basket: Another,フルーツバスケット another,nil,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,School,nil,nil,,,,,Fruits Basket: Another/フルーツバスケット another
Gate 7,14902,https://myanimelist.net/manga/14902/Gate_7,https://cdn.myanimelist.net/images/manga/3/44915.jpg?s=0b51e9421922332ec6108fea871b31bc,"Between our conscious, waking world and the subconscious state of slumber, there is a thinly veiled plane of lucid dreaming. While the conscious state belongs to individuals, the hidden plane of dream...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Gate 7
Given,79085,https://myanimelist.net/manga/79085/Given,https://cdn.myanimelist.net/images/manga/1/172497.jpg?s=74d7b46c1359f46d34b2cccdacd07fb9,"There is a tune stuck in Mafuyu Satou's head. As he clutches the guitar in his hands, this melody swirls around and around, screaming words of regret, longing, and loss. But with his careless expressi...",Given,ギヴン,nil,Boys Love,Drama,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Given/ギヴン
Gunka no Baltzar,25855,https://myanimelist.net/manga/25855/Gunka_no_Baltzar,https://cdn.myanimelist.net/images/manga/1/147023.jpg?s=c4abbcc065dba88ce222ae842c1d99a2,"Glory won over the roar of cannon fire, peace exists simply as a time to prepare for the next battle. A soldier in a militarily-advanced nation, Baltzar quickly advanced in rank. However, his career t...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Gunka no Baltzar
Hai to Gensou no Grimgar,56755,https://myanimelist.net/manga/56755/Hai_to_Gensou_no_Grimgar,https://cdn.myanimelist.net/images/manga/2/174954.jpg?s=a6e249896f3ab6a29aea08dfc4b1357d,"Why are we here? Why are we doing this? Before Haruhiro had realized what happened, he was surrounded by darkness. Why was he here? Where was here? Even now, he still didn't know. Those around him wer...",Grimgar of Fantasy and Ash,灰と幻想のグリムガル,/Grimgal of Ashes and Illusion/Grimgal of Ashes and Fantasies/Hai to Gensou no Grimgal,Action,Adventure,Drama,Fantasy,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Hai to Gensou no Grimgar/Grimgar of Fantasy and Ash/灰と幻想のグリムガル/Grimgal of Ashes and Illusion/Grimgal of Ashes and Fantasies/Hai to Gensou no Grimgal
Hitomi-chan wa Hitomishiri,117078,https://myanimelist.net/manga/117078/Hitomi-chan_wa_Hitomishiri,https://cdn.myanimelist.net/images/manga/2/217887.jpg?s=1302abb9bb92165dbe63e6357f1197fd,"One day an ordinary 2nd year high-schooler named Usami Yuu accidentally encounters Takano Hitomi, a big girl with a scary looking face. It seems like she's glaring straight at him, but why...!? Althou...",Hitomi-chan is Shy With Strangers,瞳ちゃんは人見知り,nil,Comedy,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,School,nil,nil,,,,,Hitomi-chan wa Hitomishiri/Hitomi-chan is Shy With Strangers/瞳ちゃんは人見知り
Hoankan Evans no Uso: Dead or Love,106190,https://myanimelist.net/manga/106190/Hoankan_Evans_no_Uso__Dead_or_Love,https://cdn.myanimelist.net/images/manga/3/201211.jpg?s=25b05a42cbff27878788797e58af5c05,"Sheriff Elmore Evans is a stoic gunslinger delivering frontier justice in the American Wild West. There is another side to him, though. Despite his notorious marksmanship, he is a hopeless romantic wi...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Hoankan Evans no Uso: Dead or Love
Hoshi no Koe,366,https://myanimelist.net/manga/366/Hoshi_no_Koe,https://cdn.myanimelist.net/images/manga/2/130253.jpg?s=6ba02b1b9fbdca1b751894a68a54a89c,"To what distance would you go for your one true love? In the midst of an alien invasion, Mikako joins the resistance, leaving behind the one young man she loves. As she goes deeper into space, Mikako'...",Voices of a Distant Star,ほしのこえ,/The Voices of a Distant Star,Drama,Romance,Sci-Fi,nil,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Mecha,nil,nil,,,,,Hoshi no Koe/Voices of a Distant Star/ほしのこえ/The Voices of a Distant Star
Ikemen Girl to Hakoiri Musume,122672,https://myanimelist.net/manga/122672/Ikemen_Girl_to_Hakoiri_Musume,https://cdn.myanimelist.net/images/manga/2/228481.jpg?s=fcc7ccdc0795abe9bb0c12759f980818,"Satomi Ooguma has never been interested in anyone romantically; however, this changes when she meets fellow classmate Mizuki Kanda. Although Kanda is a girl, Ooguma mistakes her for a boy and finds he...",Handsome Girl and Sheltered Girl,イケメン女〈ガール〉と箱入り娘,/Ikemen Onna to Hakoiri Musume,Comedy,Girls Love,nil,nil,nil,nil,nil,nil,nil,nil,Shounen,nil,nil,nil,nil,nil,,,,,Ikemen Girl to Hakoiri Musume/Handsome Girl and Sheltered Girl/イケメン女〈ガール〉と箱入り娘/Ikemen Onna to Hakoiri Musume
Kagerou Daze,39625,https://myanimelist.net/manga/39625/Kagerou_Daze,https://cdn.myanimelist.net/images/manga/1/215824.jpg?s=109a51bbb5ac1238866205774d848e1b,"Shintarou Kisaragi—a NEET who shut himself inside his room for two years—had been living his life normally until he met a cyber girl named Ene, who appeared in his computer screen when someone anonymo...",Kagerou Daze,カゲロウデイズ,/Heat-Haze Days,Comedy,Romance,Sci-Fi,Supernatural,nil,nil,nil,nil,nil,nil,Josei,nil,nil,nil,nil,nil,,,,,Kagerou Daze/カゲロウデイズ/Heat-Haze Days
Koi wo Suru no ga Shigoto desu.,13883,https://myanimelist.net/manga/13883/Koi_wo_Suru_no_ga_Shigoto_desu,https://cdn.myanimelist.net/images/manga/3/57223.jpg?s=fc8474fc30118b5218324c43c1b6827b,"Ryou Hatsuhi is a young man who has just secured his dream job at Takebou Commercial. His girlfriend, Minori Sawamura, has also landed her dream job but at a rival company, the BNB Corporation. Both R...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Koi wo Suru no ga Shigoto desu.
Zettai Kareshi.,71,https://myanimelist.net/manga/71/Zettai_Kareshi,https://cdn.myanimelist.net/images/manga/1/185981.jpg?s=c35935b871f0df4bdaa5705596ccb22f,"High school student Riiko Izawa has gone through a series of unrequited crushes. Each time she works up the courage to confess to a boy, he rejects her on the spot. After yet another rejection, Riiko...",Absolute Boyfriend,絶対彼氏。,/I Won't Let You Become a Star!/Ohoshisama ni wa Sasemasen!/Aromatic Boy/Shounen Aromatic,Comedy,Drama,Romance,Sci-Fi,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,School,nil,nil,,,,,Zettai Kareshi./Absolute Boyfriend/絶対彼氏。/I Won't Let You Become a Star!/Ohoshisama ni wa Sasemasen!/Aromatic Boy/Shounen Aromatic
Toradora!,4368,https://myanimelist.net/manga/4368/Toradora,https://cdn.myanimelist.net/images/manga/2/174090.jpg?s=1898b608527b72401d3f754c8f065da3,"Takasu Ryuuji has learned the hard way that appearances can be deceiving. For despite his inwardly sweet personality, his unintentionally sharp gaze and aggressive features give him the air of a delin...",Toradora!,とらドラ!,/Tiger X Dragon/Tora Dora,Comedy,Romance,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Toradora!/とらドラ!/Tiger X Dragon/Tora Dora
Bokura no Shokutaku,104491,https://myanimelist.net/manga/104491/Bokura_no_Shokutaku,https://cdn.myanimelist.net/images/manga/1/196394.jpg?s=667c9918c2c54258b80ca34ae204887f,"Yutaka Hozumi has always been bad at eating in the company of others, with people complaining that his presence makes mealtimes boring and food taste bad. While eating lunch alone one day, he is sudde...",Our Dining Table,僕らの食卓,nil,Boys Love,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Bokura no Shokutaku/Our Dining Table/僕らの食卓
QQ Sweeper,67397,https://myanimelist.net/manga/67397/QQ_Sweeper,https://cdn.myanimelist.net/images/manga/3/150693.jpg?s=bd0d391b95d4eca39df54712162c1d27,"In human hearts, negative energy sometimes finds a place to dwell. This negativity can begin to take shape into monstrous creatures, which can only be dealt with by ""Sweepers,"" special people with the...",QQ Sweeper,QQスイーパー,nil,Comedy,Romance,Supernatural,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,School,nil,nil,,,,,QQ Sweeper/QQスイーパー
Karneval,10270,https://myanimelist.net/manga/10270/Karneval,https://cdn.myanimelist.net/images/manga/3/172699.jpg?s=697563bed034478e3fb7c0e91c198050,"Naive boy Nai has been looking for someone important to him, with only an old bracelet and the name ""Karoku"" as his clues to their whereabouts. Along the way, he becomes ensnared by a monstrous woman...",Karneval,カーニヴァル,nil,Action,Fantasy,Mystery,Sci-Fi,nil,nil,nil,nil,nil,nil,Josei,nil,nil,nil,nil,nil,,,,,Karneval/カーニヴァル
Living no Matsunaga-san,103856,https://myanimelist.net/manga/103856/Living_no_Matsunaga-san,https://cdn.myanimelist.net/images/manga/1/195932.jpg?s=9f36edb7110372534316640b25534b9c,"Due to family circumstances, high school student Miko Sonoda is forced to live at her uncle's boarding house. However, before she can arrive there, Miko is already met with a bad omen: while trying to...",Living-Room Matsunaga-san,リビングの松永さん,nil,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,nil,nil,nil,,,,,Living no Matsunaga-san/Living-Room Matsunaga-san/リビングの松永さん
Nekota no Koto ga Kininatte Shikatanai.,84559,https://myanimelist.net/manga/84559/Nekota_no_Koto_ga_Kininatte_Shikatanai,https://cdn.myanimelist.net/images/manga/3/185397.jpg?s=e9bf44ed5edf9b0fcb246b567ed9bfa7,"Transferring often, Mikiko ""Mikki"" Amane maintains an aloof and detached attitude at each new school. However, she is thrown for a loop when she sets eyes on her classmate Nekota. He has the face of a...",nil,猫田のことが気になって仕方ない。,/Retake!/Kumori Sora/Ue no Hou./Chounouryoku Shoujo Clane/Hoshikuzu yori Ai wo Komete,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,School,nil,nil,,,,,Nekota no Koto ga Kininatte Shikatanai./猫田のことが気になって仕方ない。/Retake!/Kumori Sora/Ue no Hou./Chounouryoku Shoujo Clane/Hoshikuzu yori Ai wo Komete
Niehime to Kemono no Ou,95920,https://myanimelist.net/manga/95920/Niehime_to_Kemono_no_Ou,https://cdn.myanimelist.net/images/manga/3/176598.jpg?s=99290918a4bdf5f163066246b9f056eb,"One hundred years ago, there was a great war between humanity and beastkind. Once the war ended, an annual tradition was proposed where a female sacrifice would be taken from the humans to be eaten by...",Sacrificial Princess and the King of Beasts,贄姫と獣の王,/Princess of the sacrifice & King of the beast,Fantasy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,nil,nil,nil,,,,,Niehime to Kemono no Ou/Sacrificial Princess and the King of Beasts/贄姫と獣の王/Princess of the sacrifice & King of the beast
Watashi ga Motete Dousunda,54779,https://myanimelist.net/manga/54779/Watashi_ga_Motete_Dousunda,https://cdn.myanimelist.net/images/manga/1/206834.jpg?s=3a0dbafc62b43911d4a1c591aae350f8,"Rather than a prince and a princess living happily ever after together, it is much more appealing to see a prince and a prince fall in love. Believing in this wholeheartedly, Kae Serinuma is an overwe...","Kiss Him, Not Me",私がモテてどうすんだ,/Boys/Please Kiss Him Instead of Me/What will you do if I become popular?,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,Harem,School,nil,,,,,"Watashi ga Motete Dousunda/Kiss Him, Not Me/私がモテてどうすんだ/Boys/Please Kiss Him Instead of Me/What will you do if I become popular?"
Wotaku ni Koi wa Muzukashii,89087,https://myanimelist.net/manga/89087/Wotaku_ni_Koi_wa_Muzukashii,https://cdn.myanimelist.net/images/manga/3/155740.jpg?s=0c5f67910f846d019b0e3fc34a8deda1,"Narumi Momose is a petite and cute young woman who loves idols, games, and everything anime or manga-related, especially in the boys' love genre. In other words, she is a closet otaku and more specifi...",Wotakoi: Love Is Hard for Otaku,ヲタクに恋は難しい,/It's Difficult to Love an Otaku,Comedy,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Wotaku ni Koi wa Muzukashii/Wotakoi: Love Is Hard for Otaku/ヲタクに恋は難しい/It's Difficult to Love an Otaku
"Atashi, Kiss shita.",87986,https://myanimelist.net/manga/87986/Atashi_Kiss_shita,https://cdn.myanimelist.net/images/manga/2/171402.jpg?s=ec0b4f7161a2cf1227c03a938ca0b927,"""I wonder if just one kiss will be able to change our status quo in our relationship?""",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,"Atashi, Kiss shita."
Chobits,107,https://myanimelist.net/manga/107/Chobits,https://cdn.myanimelist.net/images/manga/3/164969.jpg?s=65f08b15b438ccb1ba671fae2de39dfb,"After enduring four years of high school, Hideki Motosuwa strives to get into the university of his choice by attending cram school in Tokyo. Concurrently, he works daily shifts at a bar to make ends...",Chobits,ちょびっツ,nil,Comedy,Romance,Sci-Fi,Ecchi,nil,nil,nil,nil,nil,nil,Seinen,nil,nil,Psychological,nil,nil,,,,,Chobits/ちょびっツ
Clannad,2598,https://myanimelist.net/manga/2598/Clannad,https://cdn.myanimelist.net/images/manga/3/6142.jpg?s=1d3efc12af51f966b8fc85c9c2cda8f7,"Okazaki Tomoya is a delinquent who finds life dull and believes he'll never amount to anything. Along with his friend Sunohara, he skips school and plans to waste his high school days away. One day wh...",nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,Clannad
"Haikei, Niisan-sama",25189,https://myanimelist.net/manga/25189/Haikei_Niisan-sama,https://cdn.myanimelist.net/images/manga/1/90353.jpg?s=2ccda05725a77d1b94119f12bed84ece,Yutaka gets his yearly letter from his beloved older brother. (Source: MIAB),nil,拝啓、兄さん様,/Dear Brother,Boys Love,Slice of Life,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,"Haikei, Niisan-sama/拝啓、兄さん様/Dear Brother"
Heroine Shikkaku,23358,https://myanimelist.net/manga/23358/Heroine_Shikkaku,https://cdn.myanimelist.net/images/manga/1/37848.jpg?s=c46b9fc7a8a76efdf457cf3deeae9d9e,"Constantly gauging the roles of others, Hatori Matsuzaki has always been the main character, so it's only fitting that she be the heroine for her crush and childhood friend, Rita Terasaka. Even though...",No Longer Heroine,ヒロイン失格,/Thank You Last Samurai/Souri de Sorry,Romance,nil,nil,nil,nil,nil,nil,nil,nil,nil,Shoujo,nil,nil,School,nil,nil,,,,,Heroine Shikkaku/No Longer Heroine/ヒロイン失格/Thank You Last Samurai/Souri de Sorry
